,0,1,2,3,4,5,6,7,8,9,10,11
106,<ANN.ANN object at 0x16B3FE10>,0.9203075847605732,<ANN.ANN object at 0x16B3FE10>,0.9238028661307235,ANN,adam,relu,constant,5700,0.0001,1e-05,"(100, 90)"
107,<ANN.ANN object at 0x16B3FF10>,0.9010835372247465,<ANN.ANN object at 0x16B3FF10>,0.9444250262146103,ANN,adam,relu,constant,5700,0.0001,1e-05,"(100, 90, 80, 70)"
108,<ANN.ANN object at 0x16B5C030>,0.9024816497728068,<ANN.ANN object at 0x16B5C030>,0.9441920074566003,ANN,adam,relu,constant,6700,0.001,0.0001,"(100, 90)"
109,<ANN.ANN object at 0x16B5C0B0>,0.9080740999650472,<ANN.ANN object at 0x16B5C0B0>,0.9464056856576955,ANN,adam,relu,constant,6700,0.001,0.0001,"(100, 90, 80, 70)"
110,<ANN.ANN object at 0x16B5C130>,0.906326459279972,<ANN.ANN object at 0x16B5C130>,0.9455901200046604,ANN,adam,relu,constant,6700,0.001,0.0009,"(100, 90)"
111,<ANN.ANN object at 0x16B5C050>,0.8895491087032507,<ANN.ANN object at 0x16B5C050>,0.9437259699405802,ANN,adam,relu,constant,6700,0.001,0.0009,"(100, 90, 80, 70)"
112,<ANN.ANN object at 0x16B5C230>,0.9031807060468368,<ANN.ANN object at 0x16B5C230>,0.9436094605615752,ANN,adam,relu,constant,6700,0.001,1e-05,"(100, 90)"
113,<ANN.ANN object at 0x16B5C1B0>,0.9028311779098217,<ANN.ANN object at 0x16B5C1B0>,0.9478037982057556,ANN,adam,relu,constant,6700,0.001,1e-05,"(100, 90, 80, 70)"
114,<ANN.ANN object at 0x16B5C2B0>,0.9035302341838518,<ANN.ANN object at 0x16B5C2B0>,0.9454736106256554,ANN,adam,relu,constant,6700,0.01,0.0001,"(100, 90)"
115,<ANN.ANN object at 0x16B5C330>,0.9014330653617616,<ANN.ANN object at 0x16B5C330>,0.941046254223465,ANN,adam,relu,constant,6700,0.01,0.0001,"(100, 90, 80, 70)"
116,<ANN.ANN object at 0x16B5C3B0>,0.9094722125131073,<ANN.ANN object at 0x16B5C3B0>,0.9403471979494349,ANN,adam,relu,constant,6700,0.01,0.0009,"(100, 90)"
