,0
165,"['ANN', 'adam', 'relu', 'adaptive', 7900, 0.001, 0.0001, (100, 90, 80, 70)]"
166,"['ANN', 'adam', 'relu', 'adaptive', 8000, 0.001, 0.0001, (100, 90, 80, 70)]"
167,"['ANN', 'adam', 'relu', 'adaptive', 8100, 0.001, 0.0001, (100, 90, 80, 70)]"
168,"['ANN', 'adam', 'relu', 'adaptive', 8200, 0.001, 0.0001, (100, 90, 80, 70)]"
169,"['ANN', 'adam', 'relu', 'adaptive', 8300, 0.001, 0.0001, (100, 90, 80, 70)]"
170,"['ANN', 'adam', 'relu', 'adaptive', 8400, 0.001, 0.0001, (100, 90, 80, 70)]"
171,"['ANN', 'adam', 'relu', 'adaptive', 8500, 0.001, 0.0001, (100, 90, 80, 70)]"
172,"['ANN', 'adam', 'relu', 'adaptive', 8600, 0.001, 0.0001, (100, 90, 80, 70)]"
173,"['ANN', 'adam', 'relu', 'adaptive', 8700, 0.001, 0.0001, (100, 90, 80, 70)]"
174,"['ANN', 'adam', 'relu', 'adaptive', 8800, 0.001, 0.0001, (100, 90, 80, 70)]"
175,"['ANN', 'adam', 'relu', 'adaptive', 8900, 0.001, 0.0001, (100, 90, 80, 70)]"
176,"['ANN', 'adam', 'relu', 'adaptive', 9000, 0.001, 0.0001, (100, 90, 80, 70)]"
177,"['ANN', 'adam', 'relu', 'adaptive', 9100, 0.001, 0.0001, (100, 90, 80, 70)]"
178,"['ANN', 'adam', 'relu', 'adaptive', 9200, 0.001, 0.0001, (100, 90, 80, 70)]"
179,"['ANN', 'adam', 'relu', 'adaptive', 9300, 0.001, 0.0001, (100, 90, 80, 70)]"
180,"['ANN', 'adam', 'relu', 'adaptive', 9400, 0.001, 0.0001, (100, 90, 80, 70)]"
181,"['ANN', 'adam', 'relu', 'adaptive', 9500, 0.001, 0.0001, (100, 90, 80, 70)]"
182,"['ANN', 'adam', 'relu', 'adaptive', 9600, 0.001, 0.0001, (100, 90, 80, 70)]"
183,"['ANN', 'adam', 'relu', 'adaptive', 9700, 0.001, 0.0001, (100, 90, 80, 70)]"
184,"['ANN', 'adam', 'relu', 'adaptive', 9800, 0.001, 0.0001, (100, 90, 80, 70)]"
185,"['ANN', 'adam', 'relu', 'adaptive', 9900, 0.001, 0.0001, (100, 90, 80, 70)]"
186,"['Dtree', 'gini', 'best', 5]"
187,"['Dtree', 'gini', 'best', 10]"
188,"['Dtree', 'gini', 'best', 15]"
189,"['Dtree', 'gini', 'random', 5]"
190,"['Dtree', 'gini', 'random', 10]"
191,"['Dtree', 'gini', 'random', 15]"
192,"['Dtree', 'entropy', 'best', 5]"
193,"['Dtree', 'entropy', 'best', 10]"
194,"['Dtree', 'entropy', 'best', 15]"
195,"['Dtree', 'entropy', 'random', 5]"
196,"['Dtree', 'entropy', 'random', 10]"
197,"['Dtree', 'entropy', 'random', 15]"
198,"['KNN', 2, 'uniform', 'auto']"
199,"['KNN', 2, 'uniform', 'ball_tree']"
200,"['KNN', 2, 'uniform', 'kd_tree']"
201,"['KNN', 2, 'uniform', 'brute']"
202,"['KNN', 2, 'distance', 'auto']"
203,"['KNN', 2, 'distance', 'ball_tree']"
204,"['KNN', 2, 'distance', 'kd_tree']"
205,"['KNN', 2, 'distance', 'brute']"
206,"['KNN', 4, 'uniform', 'auto']"
207,"['KNN', 4, 'uniform', 'ball_tree']"
208,"['KNN', 4, 'uniform', 'kd_tree']"
209,"['KNN', 4, 'uniform', 'brute']"
210,"['KNN', 4, 'distance', 'auto']"
211,"['KNN', 4, 'distance', 'ball_tree']"
212,"['KNN', 4, 'distance', 'kd_tree']"
213,"['KNN', 4, 'distance', 'brute']"
214,"['KNN', 6, 'uniform', 'auto']"
215,"['KNN', 6, 'uniform', 'ball_tree']"
216,"['KNN', 6, 'uniform', 'kd_tree']"
